Breed,Category,Weight_kg,Age_months,Milk_L_per_day,BCS,Activity_Level,Health_Status,DMI_kg_per_day,CrudeProtein_pct_DM,TDN_pct_DM,CrudeProtein_kg_per_day,TDN_kg_per_day,Calcium_g_per_day,Phosphorus_g_per_day,Water_L_per_day,Special_Care_Notes
Kangayam,Draft/Working Bullock,402.4,93,0.0,3.8,Medium,Normal,9.66,11.5,63.0,1.11,6.09,24.1,16.1,32.2,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kangayam,Dairy Lactating,430.9,54,9.3,3.5,Medium,Lumpy Skin Disease,12.57,20.1,73.4,2.53,9.23,64.2,39.6,62.4,"Increase protein and add Vitamin A, D, E and zinc for skin healing and immunity; offer soft palatable feed if appetite is reduced; isolate from herd; ensure fly/vector control."
Kangayam,Calf,58.8,6,0.0,3.0,Low,FMD,1.21,21.0,75.0,0.25,0.91,3.7,2.5,4.7,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Kangayam,Draft/Working Bullock,390.5,138,0.0,3.1,Medium,Normal,9.37,11.5,63.0,1.08,5.9,23.4,15.6,31.2,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kankrej,Calf,110.6,2,0.0,3.4,Low,Normal,3.15,20.0,72.0,0.63,2.27,6.6,4.4,8.8,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kankrej,Dairy Dry,440.0,126,0.0,3.0,Medium,FMD,6.97,13.5,63.0,0.94,4.39,27.7,18.5,35.2,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Kankrej,Dairy Lactating,453.9,113,9.0,3.3,Medium,Normal,16.32,17.5,71.3,2.86,11.64,58.7,38.0,63.3,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kankrej,Draft/Working Bullock,538.5,88,0.0,3.8,High,FMD,10.05,12.5,75.9,1.26,7.63,33.9,22.6,48.1,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Kankrej,Draft/Working Bullock,455.1,61,0.0,2.8,High,Normal,11.8,11.5,72.4,1.36,8.54,27.3,18.2,41.4,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kankrej,Dairy Dry,548.3,125,0.0,3.1,Medium,Ringworm,11.46,13.0,60.0,1.49,6.88,37.8,24.1,43.9,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Kankrej,Breeding Bull,516.0,126,0.0,3.4,Medium,Ringworm,11.27,13.5,62.0,1.52,6.99,35.6,22.7,41.3,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Kankrej,Calf,78.6,5,0.0,2.1,Low,Normal,2.42,21.0,75.0,0.51,1.81,4.7,3.1,6.3,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kankrej,Breeding Bull,465.0,88,0.0,3.2,High,Normal,11.55,13.0,62.0,1.5,7.16,27.9,18.6,42.2,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kankrej,Draft/Working Bullock,507.5,50,0.0,3.2,High,Normal,13.15,11.5,72.4,1.51,9.52,30.5,20.3,45.6,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kankrej,Calf,55.6,4,0.0,2.8,Low,FMD,1.14,21.0,75.0,0.24,0.85,3.5,2.3,4.4,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Kankrej,Dairy Lactating,459.4,32,14.4,3.5,Medium,Normal,18.1,17.9,72.2,3.24,13.07,78.0,50.1,80.0,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kankrej,Dairy Lactating,409.6,119,14.3,3.9,Low,Ringworm,14.96,18.4,72.1,2.75,10.79,85.8,52.6,75.7,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Kankrej,Calf,76.9,3,0.0,3.1,High,FMD,1.79,21.0,75.0,0.38,1.34,4.8,3.2,11.2,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Kankrej,Dairy Dry,548.9,77,0.0,3.1,High,Ringworm,12.39,13.0,60.0,1.61,7.43,37.9,24.2,48.9,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Kankrej,Dairy Dry,502.4,40,0.0,3.5,Medium,FMD,7.96,13.5,63.0,1.07,5.01,31.7,21.1,40.2,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Kankrej,Dairy Lactating,426.8,45,11.0,3.1,Medium,Normal,16.1,17.7,71.7,2.85,11.54,64.1,41.3,67.1,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kankrej,Calf,110.3,1,0.0,3.1,Low,Normal,3.14,20.0,72.0,0.63,2.26,6.6,4.4,8.8,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kankrej,Growing/Heifer,226.1,14,0.0,2.3,High,Lumpy Skin Disease,5.49,18.5,70.0,1.02,3.84,14.9,9.5,23.1,"Increase protein and add Vitamin A, D, E and zinc for skin healing and immunity; offer soft palatable feed if appetite is reduced; isolate from herd; ensure fly/vector control."
Kankrej,Calf,77.5,6,0.0,3.3,Low,Normal,2.21,20.0,72.0,0.44,1.59,4.7,3.1,6.2,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kankrej,Calf,51.1,5,0.0,3.1,Low,Lumpy Skin Disease,1.17,22.5,74.0,0.26,0.87,3.4,2.1,4.1,"Increase protein and add Vitamin A, D, E and zinc for skin healing and immunity; offer soft palatable feed if appetite is reduced; isolate from herd; ensure fly/vector control."
Kankrej,Dairy Dry,435.2,86,0.0,2.8,High,Normal,10.34,12.5,60.0,1.29,6.2,26.1,17.4,39.8,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kankrej,Breeding Bull,494.9,61,0.0,3.9,Medium,Lumpy Skin Disease,9.11,15.5,64.0,1.41,5.83,32.7,20.8,39.6,"Increase protein and add Vitamin A, D, E and zinc for skin healing and immunity; offer soft palatable feed if appetite is reduced; isolate from herd; ensure fly/vector control."
Kankrej,Dairy Lactating,445.3,60,8.0,3.3,Low,Normal,14.97,17.5,71.2,2.62,10.66,54.7,35.4,59.6,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kenkatha,Calf,58.1,5,0.0,3.4,Medium,Normal,1.74,20.0,72.0,0.35,1.25,3.5,2.3,4.6,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kenkatha,Dairy Dry,297.2,36,0.0,3.9,Medium,Lumpy Skin Disease,5.23,15.0,62.0,0.78,3.24,19.6,12.5,23.8,"Increase protein and add Vitamin A, D, E and zinc for skin healing and immunity; offer soft palatable feed if appetite is reduced; isolate from herd; ensure fly/vector control."
Kenkatha,Dairy Lactating,241.6,119,4.3,2.8,Medium,Normal,8.54,17.3,70.6,1.48,6.03,29.5,19.1,32.2,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kenkatha,Growing/Heifer,148.6,16,0.0,2.7,Low,Normal,3.67,15.0,65.0,0.55,2.39,8.9,5.9,11.9,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kenkatha,Dairy Dry,253.0,101,0.0,3.1,Low,Normal,5.29,12.5,60.0,0.66,3.17,15.2,10.1,20.2,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kenkatha,Calf,47.0,4,0.0,3.1,Low,Normal,1.34,20.0,72.0,0.27,0.96,2.8,1.9,3.8,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kenkatha,Draft/Working Bullock,260.3,101,0.0,3.8,Medium,Lumpy Skin Disease,5.0,14.0,65.0,0.7,3.25,17.2,10.9,20.8,"Increase protein and add Vitamin A, D, E and zinc for skin healing and immunity; offer soft palatable feed if appetite is reduced; isolate from herd; ensure fly/vector control."
Kenkatha,Draft/Working Bullock,255.9,109,0.0,3.2,High,Normal,6.63,11.5,72.4,0.76,4.8,15.4,10.2,25.5,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kenkatha,Calf,58.6,2,0.0,2.2,High,Normal,2.05,21.0,75.0,0.43,1.54,3.5,2.3,9.7,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kenkatha,Growing/Heifer,113.9,13,0.0,2.5,Low,Normal,2.81,15.0,65.0,0.42,1.83,6.8,4.6,9.1,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kenkatha,Draft/Working Bullock,230.8,69,0.0,3.0,High,Normal,5.98,11.5,72.4,0.69,4.33,13.8,9.2,23.5,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kenkatha,Draft/Working Bullock,276.2,84,0.0,3.0,Medium,Normal,6.63,11.5,63.0,0.76,4.18,16.6,11.0,22.1,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kenkatha,Calf,54.1,5,0.0,2.0,Low,FMD,1.2,22.0,78.0,0.26,0.94,3.4,2.3,4.3,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Kenkatha,Draft/Working Bullock,229.5,77,0.0,2.8,Medium,FMD,3.97,12.5,66.0,0.5,2.62,14.5,9.6,18.4,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Kenkatha,Growing/Heifer,167.9,22,0.0,2.5,Medium,Normal,4.37,15.0,65.0,0.66,2.84,10.1,6.7,13.4,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kenkatha,Draft/Working Bullock,274.0,106,0.0,3.2,High,Normal,7.1,11.5,72.4,0.82,5.14,16.4,11.0,26.9,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kenkatha,Growing/Heifer,159.1,24,0.0,2.8,Medium,Normal,4.14,15.0,65.0,0.62,2.69,9.5,6.4,12.7,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kenkatha,Calf,55.9,1,0.0,3.1,Low,Lumpy Skin Disease,1.27,22.5,74.0,0.29,0.94,3.7,2.3,4.5,"Increase protein and add Vitamin A, D, E and zinc for skin healing and immunity; offer soft palatable feed if appetite is reduced; isolate from herd; ensure fly/vector control."
Kenkatha,Growing/Heifer,127.2,9,0.0,2.8,Medium,FMD,2.38,16.0,68.0,0.38,1.62,8.0,5.3,10.2,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Kenkatha,Draft/Working Bullock,291.3,102,0.0,3.5,Low,Normal,6.64,11.5,59.8,0.76,3.97,17.5,11.7,23.3,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kenkatha,Dairy Dry,201.7,31,0.0,3.6,Medium,Normal,4.44,12.5,60.0,0.56,2.66,12.1,8.1,16.1,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Kenkatha,Breeding Bull,287.2,128,0.0,4.4,Low,Ringworm,5.54,13.0,60.0,0.72,3.32,19.8,12.6,23.0,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Kenkatha,Breeding Bull,244.9,43,0.0,3.4,Medium,Lumpy Skin Disease,4.51,15.5,64.0,0.7,2.89,16.2,10.3,19.6,"Increase protein and add Vitamin A, D, E and zinc for skin healing and immunity; offer soft palatable feed if appetite is reduced; isolate from herd; ensure fly/vector control."
Kenkatha,Calf,54.3,3,0.0,2.4,Medium,Normal,1.76,21.0,75.0,0.37,1.32,3.3,2.2,4.3,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khariar,Calf,71.2,6,0.0,2.0,Low,Normal,2.19,21.0,75.0,0.46,1.64,4.3,2.8,5.7,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khariar,Dairy Dry,313.7,37,0.0,3.6,Low,Lumpy Skin Disease,5.25,15.0,62.0,0.79,3.25,20.7,13.2,25.1,"Increase protein and add Vitamin A, D, E and zinc for skin healing and immunity; offer soft palatable feed if appetite is reduced; isolate from herd; ensure fly/vector control."
Khariar,Draft/Working Bullock,283.1,124,0.0,4.0,High,Ringworm,6.97,12.0,72.4,0.84,5.05,19.5,12.5,27.6,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Khariar,Calf,42.1,2,0.0,3.3,Low,Normal,1.2,20.0,72.0,0.24,0.86,2.5,1.7,3.4,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khariar,Calf,71.0,6,0.0,2.8,Low,Ringworm,1.92,20.5,72.0,0.39,1.38,4.9,3.1,5.7,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Khariar,Dairy Lactating,346.1,32,9.3,3.5,Medium,Normal,13.17,17.6,71.4,2.32,9.4,53.3,34.3,55.6,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khariar,Calf,33.9,3,0.0,3.3,Low,Ringworm,1.0,20.5,72.0,0.2,0.72,2.3,1.5,2.7,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Khariar,Dairy Lactating,325.6,79,5.8,4.0,Medium,Normal,11.51,17.3,70.9,1.99,8.16,39.8,25.8,43.4,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khariar,Dairy Lactating,259.8,36,5.1,2.2,Medium,FMD,7.25,19.3,76.8,1.4,5.57,35.1,22.7,36.1,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Khariar,Breeding Bull,363.9,74,0.0,4.0,Medium,Normal,8.37,13.0,62.0,1.09,5.19,21.8,14.6,29.1,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khariar,Growing/Heifer,164.2,18,0.0,2.3,Medium,Normal,4.61,16.0,68.0,0.74,3.13,9.9,6.6,13.1,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khariar,Breeding Bull,365.1,61,0.0,3.1,Low,Lumpy Skin Disease,6.38,15.5,64.0,0.99,4.08,24.1,15.3,29.2,"Increase protein and add Vitamin A, D, E and zinc for skin healing and immunity; offer soft palatable feed if appetite is reduced; isolate from herd; ensure fly/vector control."
Khariar,Draft/Working Bullock,324.0,43,0.0,3.0,Medium,Normal,7.78,11.5,63.0,0.89,4.9,19.4,13.0,25.9,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khariar,Dairy Lactating,286.0,86,5.8,2.3,Low,Normal,10.59,18.3,73.9,1.94,7.83,37.5,24.2,40.3,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khariar,Breeding Bull,291.9,89,0.0,3.5,Low,FMD,4.59,14.0,65.0,0.64,2.98,18.4,12.3,23.4,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Khariar,Dairy Lactating,251.2,79,5.8,3.6,Medium,FMD,6.68,18.3,73.9,1.22,4.94,37.1,23.9,37.5,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Khariar,Growing/Heifer,120.4,23,0.0,2.2,Medium,Normal,3.38,16.0,68.0,0.54,2.3,7.2,4.8,9.6,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khariar,Calf,46.6,2,0.0,2.7,Low,Normal,1.33,20.0,72.0,0.27,0.96,2.8,1.9,3.7,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khariar,Growing/Heifer,158.4,22,0.0,2.2,Medium,Ringworm,4.23,16.5,68.0,0.7,2.88,10.9,7.0,12.7,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Khariar,Dairy Lactating,288.0,109,9.3,2.9,Medium,Lumpy Skin Disease,9.14,20.1,73.4,1.84,6.71,54.8,33.6,50.9,"Increase protein and add Vitamin A, D, E and zinc for skin healing and immunity; offer soft palatable feed if appetite is reduced; isolate from herd; ensure fly/vector control."
Khariar,Draft/Working Bullock,263.6,100,0.0,3.0,High,Normal,6.83,11.5,72.4,0.79,4.94,15.8,10.5,26.1,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khariar,Dairy Lactating,346.5,52,11.9,2.6,Medium,Normal,13.96,17.7,71.8,2.47,10.02,62.4,40.0,63.4,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khariar,Breeding Bull,289.7,124,0.0,4.2,Medium,Normal,6.2,12.5,60.0,0.78,3.72,17.4,11.6,23.2,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khariar,Breeding Bull,334.5,49,0.0,4.0,Medium,Ringworm,7.31,13.5,62.0,0.99,4.53,23.1,14.7,26.8,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Khillari,Dairy Dry,321.0,120,0.0,3.7,High,Normal,7.63,12.5,60.0,0.95,4.58,19.3,12.8,30.7,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khillari,Dairy Dry,349.9,116,0.0,3.5,Low,FMD,5.27,13.5,63.0,0.71,3.32,22.0,14.7,28.0,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Khillari,Draft/Working Bullock,378.9,78,0.0,2.6,High,Normal,9.82,11.5,72.4,1.13,7.11,22.7,15.2,35.3,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khillari,Dairy Dry,350.7,98,0.0,3.9,Medium,Normal,7.72,12.5,60.0,0.96,4.63,21.0,14.0,28.1,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khillari,Dairy Lactating,389.6,119,10.0,3.3,Low,Lumpy Skin Disease,11.16,20.1,73.5,2.24,8.2,64.2,39.5,61.2,"Increase protein and add Vitamin A, D, E and zinc for skin healing and immunity; offer soft palatable feed if appetite is reduced; isolate from herd; ensure fly/vector control."
Khillari,Draft/Working Bullock,335.5,109,0.0,3.5,Low,Ringworm,7.27,12.0,59.8,0.87,4.35,23.1,14.8,26.8,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Khillari,Draft/Working Bullock,340.0,106,0.0,3.6,High,Normal,8.81,11.5,72.4,1.01,6.38,20.4,13.6,32.2,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khillari,Calf,48.5,1,0.0,2.8,Low,FMD,1.0,21.0,75.0,0.21,0.75,3.1,2.0,3.9,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Khillari,Dairy Dry,339.1,77,0.0,3.7,Medium,Normal,7.46,12.5,60.0,0.93,4.48,20.3,13.6,27.1,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khillari,Dairy Lactating,348.3,33,7.3,3.8,Low,Lumpy Skin Disease,9.61,19.9,73.1,1.91,7.02,51.1,31.5,49.8,"Increase protein and add Vitamin A, D, E and zinc for skin healing and immunity; offer soft palatable feed if appetite is reduced; isolate from herd; ensure fly/vector control."
Khillari,Draft/Working Bullock,334.8,42,0.0,3.0,High,Normal,8.68,11.5,72.4,1.0,6.28,20.1,13.4,31.8,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khillari,Dairy Lactating,309.8,90,9.1,2.9,Low,Normal,11.42,17.5,71.4,2.0,8.15,50.4,32.4,52.1,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khillari,Draft/Working Bullock,302.3,38,0.0,3.0,Medium,Lumpy Skin Disease,5.8,14.0,65.0,0.81,3.77,20.0,12.7,24.2,"Increase protein and add Vitamin A, D, E and zinc for skin healing and immunity; offer soft palatable feed if appetite is reduced; isolate from herd; ensure fly/vector control."
Khillari,Draft/Working Bullock,351.6,55,0.0,3.3,Medium,Normal,8.44,11.5,63.0,0.97,5.32,21.1,14.1,28.1,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khillari,Dairy Dry,379.8,59,0.0,3.4,Low,FMD,5.72,13.5,63.0,0.77,3.6,23.9,16.0,30.4,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Khillari,Dairy Dry,373.7,33,0.0,3.8,Medium,Normal,8.22,12.5,60.0,1.03,4.93,22.4,14.9,29.9,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khillari,Calf,44.1,6,0.0,3.1,Medium,FMD,1.0,21.0,75.0,0.21,0.75,2.8,1.9,3.5,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Khillari,Breeding Bull,346.5,47,0.0,3.2,Medium,Normal,7.97,13.0,62.0,1.04,4.94,20.8,13.9,27.7,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khillari,Draft/Working Bullock,359.7,64,0.0,3.4,High,Normal,9.32,11.5,72.4,1.07,6.75,21.6,14.4,33.8,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khillari,Dairy Dry,317.3,109,0.0,3.5,High,Ringworm,7.16,13.0,60.0,0.93,4.3,21.9,14.0,30.4,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Khillari,Breeding Bull,384.5,34,0.0,3.4,Low,Normal,8.4,13.0,62.0,1.09,5.21,23.1,15.4,30.8,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khillari,Growing/Heifer,181.8,23,0.0,2.9,Medium,Normal,4.73,15.0,65.0,0.71,3.07,10.9,7.3,14.5,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khillari,Breeding Bull,446.6,112,0.0,3.3,Low,Normal,9.76,13.0,62.0,1.27,6.05,26.8,17.9,35.7,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Khillari,Growing/Heifer,248.6,17,0.0,3.3,High,Normal,6.98,15.0,65.0,1.05,4.54,14.9,9.9,24.9,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Konkan Kapila,Growing/Heifer,147.5,19,0.0,2.7,Medium,Normal,3.83,15.0,65.0,0.57,2.49,8.8,5.9,11.8,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Konkan Kapila,Dairy Dry,166.7,92,0.0,3.3,Medium,Normal,3.67,12.5,60.0,0.46,2.2,10.0,6.7,13.3,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Konkan Kapila,Calf,21.3,3,0.0,3.2,Low,Lumpy Skin Disease,1.0,22.5,74.0,0.23,0.74,1.4,0.9,1.7,"Increase protein and add Vitamin A, D, E and zinc for skin healing and immunity; offer soft palatable feed if appetite is reduced; isolate from herd; ensure fly/vector control."
Konkan Kapila,Dairy Dry,201.1,100,0.0,3.4,Low,Normal,4.2,12.5,60.0,0.53,2.52,12.1,8.0,16.1,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Konkan Kapila,Dairy Lactating,232.3,99,3.7,3.4,Medium,Ringworm,7.68,17.7,70.6,1.36,5.42,30.9,19.2,29.7,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Konkan Kapila,Calf,40.4,6,0.0,2.4,High,Normal,1.41,21.0,75.0,0.3,1.06,2.4,1.6,8.2,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Konkan Kapila,Dairy Lactating,193.9,41,6.8,3.6,Low,Lumpy Skin Disease,5.97,19.9,73.0,1.19,4.36,39.0,23.9,35.9,"Increase protein and add Vitamin A, D, E and zinc for skin healing and immunity; offer soft palatable feed if appetite is reduced; isolate from herd; ensure fly/vector control."
Konkan Kapila,Breeding Bull,204.8,112,0.0,3.9,Low,Normal,4.47,13.0,62.0,0.58,2.77,12.3,8.2,16.4,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Konkan Kapila,Growing/Heifer,139.1,13,0.0,2.8,Medium,Normal,3.62,15.0,65.0,0.54,2.35,8.3,5.6,11.1,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Konkan Kapila,Draft/Working Bullock,178.9,61,0.0,2.9,High,Ringworm,4.41,12.0,72.4,0.53,3.19,12.3,7.9,19.3,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Konkan Kapila,Draft/Working Bullock,159.5,128,0.0,3.9,High,Ringworm,3.93,12.0,72.4,0.47,2.85,11.0,7.0,17.8,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Konkan Kapila,Dairy Lactating,162.7,113,5.3,2.5,Medium,Lumpy Skin Disease,5.18,19.8,72.8,1.03,3.77,31.1,19.1,28.9,"Increase protein and add Vitamin A, D, E and zinc for skin healing and immunity; offer soft palatable feed if appetite is reduced; isolate from herd; ensure fly/vector control."
Konkan Kapila,Draft/Working Bullock,198.9,74,0.0,3.4,Medium,Normal,4.77,11.5,63.0,0.55,3.01,11.9,8.0,15.9,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Konkan Kapila,Dairy Dry,213.4,39,0.0,3.8,Low,Normal,4.46,12.5,60.0,0.56,2.68,12.8,8.5,17.1,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Konkan Kapila,Dairy Lactating,243.6,118,5.5,3.9,Medium,Normal,8.96,17.3,70.8,1.55,6.34,33.9,21.8,36.0,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Konkan Kapila,Draft/Working Bullock,223.1,35,0.0,3.2,High,Normal,5.78,11.5,72.4,0.66,4.18,13.4,8.9,22.8,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Konkan Kapila,Calf,32.2,5,0.0,3.2,Low,Normal,1.0,20.0,72.0,0.2,0.72,1.9,1.3,2.6,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Konkan Kapila,Dairy Lactating,204.7,73,3.6,3.7,Medium,Ringworm,6.86,17.7,70.5,1.21,4.84,28.6,17.7,27.2,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Konkan Kapila,Calf,23.2,1,0.0,2.7,Low,Ringworm,1.0,20.5,72.0,0.2,0.72,1.6,1.0,1.9,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
